Category,Type,Lot #,Shape,Carat,Color,Clarity,Cut,Pol.,Sym.,Depth %,Table %,Fluor.,Measurement,Lab,Certificate #,Rap. Price,Discount,Price/Ct,Total Price,Cert,Video,Cert,Video,,
Certified,1.5-1.99,S3575,TRIL,1.74,L,SI1,,VG,G,39.2,83,FNT,8.72 x 8.92 x 3.50,GIA,2185901364,"$3,200 ",-22.66%,"$2,475 ","$4,307 ",CERT,,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2185901364,0,,
Certified,1-1.49,11443,TRIL,1,E,SI1,,G,VG,41.4,66,MED,6.92 x 7.16 x 2.97,GIA,5201158141,"$5,700 ",-47.79%,"$2,976 ","$2,976 ",CERT,,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=5201158141,,,
Certified,1-1.49,11950,TRIL,1.27,E,SI1,,EX,VG,36.7,60,NON,7.97 x 8.65 x 3.18,GIA,7333784082,"$5,700 ",-32.58%,"$3,843 ","$4,881 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=7333784082,https://up.diacam360.com/scan/3b6e_356363,,
Certified,1-1.49,11955,TRIL,1.01,E,SI1,,EX,VG,36.7,63,NON,7.30 x 8.18 x 3.00,GIA,1338750128,"$5,700 ",-32.58%,"$3,843 ","$3,881 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=1338750128,https://up.diacam360.com/scan/06fe_356358,,
Certified,1-1.49,11887,TRIL,1.23,F,SI1,,EX,VG,40.4,68,NON,8.03 x 8.07 x 3.26,GIA,2326814880,"$5,500 ",-35.64%,"$3,540 ","$4,354 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2326814880,https://up.diacam360.com/scan/c61c_353307,,
Certified,1-1.49,11105,TRIL,1.3,F,SI2,,EX,EX,39.4,65,NON,7.63 x 8.59 x 3.39,GIA,2297755221,"$4,700 ",-27.66%,"$3,400 ","$4,420 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2297755221,https://up.diacam360.com/scan/85a6_264760,,
Certified,1-1.49,11435,TRIL,1.01,F,SI2,,EX,VG,35.9,68,NON,7.73 x 7.84 x 2.81,GIA,6321089161,"$4,700 ",-34.89%,"$3,060 ","$3,091 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=6321089161,https://up.diacam360.com/scan/32ec_299502,,
Certified,1-1.49,12037,TRIL,1.09,G,VS2,,EX,VG,30.6,61,NON,8.27 x 8.68 x 2.65,GIA,6341136591,"$5,900 ",-42.51%,"$3,392 ","$3,697 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=6341136591,https://up.diacam360.com/scan/4ba6_362138/video,,
Certified,1-1.49,11106,TRIL,1.21,G,SI1,,EX,VG,38.4,65,FNT,7.99 x 8.21 x 3.15,GIA,5273285081,"$5,300 ",-32.25%,"$3,591 ","$4,345 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=5273285081,https://up.diacam360.com/scan/37b7_264767,,
Certified,1-1.49,11884,TRIL,1.2,G,SI2,,EX,EX,41.5,66,FNT,7.56 x 8.14 x 3.38,GIA,1335050017,"$4,500 ",-32.80%,"$3,024 ","$3,629 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=1335050017,https://up.diacam360.com/scan/b4fc_353286,,
